Reviews,Label
Melissa took us on a tour of Asia in the space of a few hours. She definitely knows her history and regions. She takes the time to tell you about the different proprietors of the different restaurants that you stop at. She also lets you know about the different regions that each cuisine originates from. We would definitely take the other tours that are offered if time allowed. Make sure you arrive with an empty stomach...you'll need it.,positive
"With a group of seven of us visiting Montreal for the week, we were looking for a tour that would interest everyone in the group -- the chocolate tour was perfect. Who doesn't love chocolate?! Melissa was an awesome guide. We learnt a ton about chocolate making, and really enjoyed meeting the interesting people behind the chocolate businesses in Montreal. Plus, super-delicious chocolate tasting! I'd highly recommend this tour for chocolate lovers.",positive
"Melissa is a gem! My fiancé found her tour on Viator and checked it out on Tripadvisor before we went. It is worth every penny. We took her Iberian walking tour of Montreal and it was filled with surprises (a chorizo distributor!) and great history. Lots of local stops, the tapa places were never something we would have discovered on our own. We had an intimate group of 4 on our tour (the other couple was from Australia). Great wines, great food and great company. I highly recommend it and will definitely take another tour with her when we return to Montreal.",positive
A perfect day in Montreal! Melissa outfitted us with bikes and then deftly guided us through the diverse neighborhoods of Montreal...and stopping along the way to sample amazing street food. Melissa was a delightful and knowledgeable guide. The food was terrific...from duck to sausages and naan-wiches to chocolate mousse. I would highly recommend Melissa and will consider another one of her tours when I am next in Montreal.,positive
"I had a really great food truck tour with Melissa through Montreal. She really loves and knows what she is doing (talking about food, Montreal,... ) and that is what make her tours so authentic and nice. You really hear a lot about Montreal and each food truck has its own story. Although the number of food trucks was limited on the day of the tour I still got more than enough food and the quality of the food was really good. Definitely not the typical fast food you would normally expect from food trucks more like haute cuisine on wheels. Montreal is a great city for cycling with a lot of bicycle lanes and only a few hills. Summing up I can only say that the tour was a real positive surprise and I would recommend the food truck tour to everyone who loves real food (not only fast food).",positive
"I did a food truck tour on bike here and had a wonderful guide named Melissa. She was very knowledgeable about her food, history of Montreal and very friendly. We had a bit of trouble getting our bikes at first as the company she uses never showed up (Ma Bicyclette) however she was very quick on her feet and decided to use Bixi bikes instead. While not ideal bikes, they did the job. Anywho, onto the tour itself, we explored a few areas and were able to try various food trucks such as: -Thai/Cambodian food -A crepe place -Au Pied du Cochon food truck -Dim sum + bubble tea -Belgian waffles The variety varies each time but what was great was that she had relationships with each of the food truck owners and you get to meet and chat with them. All in all, it's a great time. In addition, Melissa does a lot of other tours and you can't go wrong with her amazing personality and deep knowledge of the food industry, so just check her stuff out and see what suits you.",positive
"A very pleasant surprise. I have had triple a since 2003 but never have used the service. Just one of those ""in case"" something happens kinda things. Anyhow yesterday I went to my car and noticed my driver side door was open.I must of not closed it properly or some random person broke into my garage and opened my door. So it had been sitting in my garage for 3 days, The battery is completely dead (even the car locks activated? why does that happen?) So after sitting in the seat for a few minutes coming to the conclusion it was ME that did this I decided to do something. My first thought is I will call my friend for a jump. But it was 1:30 pm so he was likley sleeping. And then I remembered I had Triple A. Never actually thought much of them but I called. Within 40 minutes I was good to go. Triple A is worth it.",positive
"AAA is obviously a reputable company....That goes without saying, but they do employ a sales rep John Kolias that is as another yelper wrote a scam artist which I will agree with....He BS-ed me into a auto and condo insurance policy with promises of future discounts providing there were no claims and/or tickets, so when I followed up with him, he was a poop salesman with a mouth full of samples and I had to follow up with him on at least 4 occasions... He kept, saying I'll get you the discounts and call you back! He never did! I NEVER had any claims and subsequently I cancelled my policy! POOF money gone! Having said that, AAA is probably fine, but DON'T do business with John Kolias!",negative
The office is large with plenty of seating. Staff was alert and greeted me with a smile. Ralph is the best! He is no nonsense and extremely knowledgeable to get me in and out quickly with all my questions resolved. Truly a pleasure to do business with.,positive
"I just recently used my AAA roadside assistance for the first time even though I have had them for my car insurance and homeowners insurance for quite some time. The customer service that received was off the charts! The service was well beyond what I anticipated! They tracked my phone to pinpoint my location and gave me text messages to update the tow truck progress. I was told it would be about 45 minutes until the truck could get to me, this was at 3pm in the vegas heat of summer. I just knew it would be an hour and a half to 2 hours. At the 30 minute mark the dispatcher called to inform me the truck was about a mile and half away and was hurrying. My only response was a chuckle and a ""Wow"". That's Awesome! Even the driver was great... everytime he had to get in the car to turn the ignition or the wheel, he always sat on the door sil so he didn't get grease or dirt in the seat or on the interior of the car. When pulling the car up on to the bed of the truck with the winch, he was very steady with the controls and didn't jerk the car around at all. He treated my car with respect as if it was his own. I use the same shop for all my repairs, and they contacted me 20 minutes later to let me know my car had arrived and the driver treated my vehicle with the same care and respect even though I wasn't there. The Driver's name was Louis. That guy is an Awesome person! Thank you to him again... it's never a good reason when you have to contact your insurance company for any reason. However, Triple A made it as easy and comforting as possible. I'm glad I'm spending my money with a company that I can trust.",positive
Had a problem with my vehicle and stuck on the side of Blue Diamond at 9:00 pm. Within 90 minutes I had a truck there and hooked up on my way home. Juan was very courteous and first thing he did was offer me a bottle of cold water. He's a keeper AAA.,positive
JOHN KOLIAS IS A SCAM ARTIST!!!!! He signed me up for insurance with the promise of rewriting my policy after tickets fell off ... When In fact he straight lied to me and they never rewrite policy's until the end of a one year mark ... He than told me that my policy was paid in full until July witch was also a lie ... And now I have a cancellation notice and a bill due of 1181 ...with only a few days to pay .... He also told me to disregard the cancellation notice that he took care of it .. . Had I not taken this into my own hands I wouldn't have been covered not even known! BE AWARE !!! Do not go thru this office !,negative
"This review is of AAA in general, not a specific agent. Our car was hit in a local parking lot by a driver insured but AAA. He backed out of a parking space into the side of our car. The guy won't call AAA back so AAA will not process the claim. This guy and AAA are dragging their feet because after 30 days AAA can deny the claim and force us to use our insurance and pay a $400 deductible. AAA is a disreputable outfit charging high rates and gives poor service on claims. We are in our late sixties living on Social Security and are being taken advantage of by a rich insurance company. They don't care about old people or young ones for that matter. I had their insurance for years and when I moved to Nevada they wanted to triple my npremium! Nice. So, if you are thinking of getting AAA insurance, think twice and get other bids. The claim was settled after 5 weeks of giving proof the other driver was at fault and turning AAA into the State. I feel that they would not have accepted liability if the State had not inquired about the claim. This could be a real racket, waiting until the deadline hoping people will give up.",negative
I called last night and at first i had trouble getting someone to pin point my location since our tire blew out while we were on our way to las vegas and had no idea what exit we just passed. Then i was connected to someone that was able to help me out and i owe her a huge thanks for being amazing and having great customer service skills. She saved our trip since we decided to come down because my friend just graduated and she saved the night. I am glad i am a AAA member. I don't know if i am on the right AAA that she was working for but her name was Nicole. Many thanks Nicole. You saved our trip :),positive
"This review is for road side assistance. I called and spoke to a very respectable woman, as always. AAA roadside has always assisted me when I have locked my Keys in the car, needed a jump, or simply needed assistance on the side of the road. No matter what the city I'm in, from California to Nevada where I am now living, AAA has always sent out wonderful drivers to assist me. I have never had a problem with the service that they send to me along with the time it takes to arrive to me. Even if I'm in my friends car and we run out of gas, I know that I can rely on AAA. It's a wonderful service to have. I appreciate everything you do ! Thank you!",positive
"This is the second time I have had bad service and the second time leaving a bad review. I called the office to inquire about their travel services. I got a voicemail of course. I was contacted later that evening and she told me that if I was purchasing airline tickets that there is a $40 charge! I said ""well, just another reason to be dissatisfied with your services"". She replied ""it's not us, it's the airlines"". Then hung up on me. No goodbye or anything! WOW great customer service!! I think it's about time for a refund for what I was ripped off with this membership!! Absolutely NO stars!!!",negative
Been with AAA for almost two decades and I'm very satisfied with them! Jennifer our agent is awesome! She makes sure that we're taken care of! Thanks,positive
My wife and I wanted to show our grand-kids something that they have never seen or done. We went to our local AAA office and were greeted by a friendly and courteous professional who listened to what we wanted. She arranged both our lodging and all tours for the Grand Canyon and the train to and from the canyon. Everything went without a flaw. The accommodations were great and all the tours were just what we described to her. She was a true professional in this age of just getting by. Thanks AAA for taking a step above the rest and hiring the best people.,positive
"When we moved to the mainland 11 years ago, first thing we did was get a membership and boy was that a good deal. Over the years, we have had to use their services on more than one occasion. They have rescued me a few times, especially in the 100 degree temps we have here in Vegas. We also take advantage of the free travel information, like maps and tour books. We go a lot and love to investigate the places we're going before we get there. These maps and books help us do that. This is a must have service for anyone, where you travel or not, first time you need a tire change or tow, they'll come to your rescue and you'll understand why it's worth it!",positive
"I would give AAA Las Vegas claims office a negative star if I could, however, consider themselves lucky with one star. Three weeks ago my 2007 Toyota Prius was broken into and my daughters Disney Sleeping Beauty backpack was stolen. Damage to car broken window, window molding, paint on door etc..... Hours before this crime - I had called AAA to update my policy as my renewal policy declaration was incorrect. The determination of my deductability was in question as the loss occured on the same date as the updated policy. To make a long story short I was handed to ten AAA representatives over two painful weeks until the car was FINALLY approved for repairs. Next time I'll post a sign on my car ""Please don't break into this vehicle until after 24-48hrs from today as I am renewing my auto policy"". My auto premium would be better invested on training AAA customer service representatives and field appraisers. I did not feel I was a valued AAA member since 1986 and this was the 1st vandalism claim since being a AAA member. Is AAA turning into the IRS? Lame.................................",negative
I had some difficulty getting a membership card and login to the AAA website after transferring my membership from PA to AZ. After posting a bad review on YELP I was contacted by a customer relations person who took very good care of me. My real problem with the login was ME. I was able to print a membership card from the website with the proper expiration date.,positive
"I pay for the premiere services with AAA. Last night my vehicle needed to be towed home. I called at 10:17PM. I was given a time from of an hour wait time. An hour passes and still no updates! As I am about to call them, I receive a phone call stating the driver is dropping off an individual in Phoenix and I will be the next call! I was given the time frame of 40minutes. The time passes (over an hour) and still no updates and I have to call them back. I am now told I was given incorrect information and it will be another hour. Of course, that hour passes and still nothing. I call and get the same employee on the phone. She states ""I can't believe you are still waiting let me contact the dispatcher"". She puts me on hold for over 20 minutes and then hangs up on me. It is now after 1:30AM and I have to get a ride home and leave my vehicle! When I called to speak to a supervisor, they refused to come on the phone. Now, later this morning when calling them I was given the excuse that the call kept getting skipped for some reason. No apology no nothing. They acted like it was not a big deal! Unacceptable especially when I pay extra money for the premiere package and this is how I am treat UPDATE: A manager contacted me to apologize and discounted my upcoming renewal. I just hope in the future this doesn't happen again.",negative
"You must rate by stars in order to post, my one star is because they exist and answer the phone. My daughter stranded on the 10 freeway about 50 miles from Buckeye, 1st call no help, second call no help, called from 6 PM to 2 AM, several times they said they were on their way, I even called with my membership to get a second dispatch out, no service. The first call they said ""our tow truck driver has not eaten all day he has to go home for dinner"" and they never ever showed. My Premier/RV call for a 200 mile call never showed. Dispatch then sent out a CHP to check on her, still no tow truck, CHP took her to the nearest station about 10 miles from there and the CHP confirmed with AAA that they dropped her at the station (no car still on side of road) and AAA told her they would come get her at the station in 1 1/2 hours and still they did not show. My roommate headed out from California to get her, in the meantime a friend of hers came to her and used his Progressive insurance towing who showed up within an hour and they towed vehicle to station took the brand new tire that she had just purchased at Firestone one hour before her trip off the car to take back to stay in Phoenix until morning (car still stranded with three tires at station 50 miles from Phoenix)... I was on the phone from 8 PM til 1:45 AM, three way calling, hang ups, lost connections, etc STILL NO TOW TRUCK!!!!!!!!!!!!!!!!! The dispatch said they called the station and the person that answered said nobody was there, the CHP confirmed they dropped her, seriously, do you think a young woman booked a hike 50 miles at 11 PM back to phoenix.. My daughter spent two hours speaking to the 24 hour tire guy there at the shop and the restaurant owner there, she was there...They never tried to call my daughter on her cell, only mine, but she had her own call into them, they did nothing, nothing... insane! I can not tell you how frustrating this was, completely stressed out... Another time I was with my boat and nobody could help us either... this was horrific as well.... Bottom line, if you are in town with normal tire service or long distance tow, the tow trucks are happy to show, they make their money on the long distance, or quick tire change and short tows. But if you are stranded in the middle of nowhere and only have the classic tow, no tow truck company wants to get to you for that, or just for tire, they dont make their money. AAA Dispatch at one point told me they called 8 companies, how is this my problem????? I have AAA for a service, as a laison so to say.... it would not matter what the cost was, it cost us more than 400/500 dollars and 4 people to take care of this due to AAA telling us different stories.... NO TRUCK EVER CAME, many many calls and two different membership calls trying to get someone.. I was an employee for AAA for 8 yours in SO CAL and always have received great service from AAA, but Arizona AAA another story, no help. I will definitely carry a secondary road side service when traveling through arizona. this is not me ramping and raving this is the short version trust me.. this is for your info so that you can expect this possibly.... this was between Buckeye and Cali on the 10 freeway BEWARE!!!!!! The car still sits 50 miles from phoenix as my daughters friend drives her and her tire to firestone, then back to the car in the middle of nowhere, not to mention this friend had to take off of work, a professional, not a minimum wage worker where these things are expected, not a good widget for this guy.. what a good friend!! I am so thankful. I had to rate it so giving one star but only because it exists and there was someone to say ""I am sorry"" over a hundred times.",negative
"I had AAA years ago in Wisconsin and the service was good. Now in Arizona, I bought a membership for myself, my son's family and my brother for the last two years. All of us had the same BAD experience. I called AAA with a flat tire. I waited 2 1/2 hours and called again. They never showed up after 3 1/2 hours. Same thing happened with my son while he had his one year old in the car with him. I called customer service next day to complain and their attitude was a ""too bad"" attitude, ""it can take a long time usually a few hours""; but when they never show up? and after 3 calls?? AAA is a terrible waste of money. Don't be fooled by customer service replies, they will do nothing for you. They could have offered to remiburse the private tow fees we had to pay. The problem is the PHOENIX ARIZONA Management; other areas for AAA are usually quite good. If you can get coverage via your auto insurance do so; its bad enough to get poor road service, but then to get poor customer service also on the phone is shameful. The CEO or Business management for the Phoenix area is seriously lacking concern with no oversight. AAA used to be a prideful name; Phoenix will change your mind.",negative
"Been sitting here in Phoenix for two hours waiting for a truck to change a flat tire. I call AAA back for a status update and they claim they don't know what happened to my truck but they'll dispatch another one that'll be here in 90 minutes. So I am supposed to sit and wait over 3 hours for a simple dispatch within city limits? That's crazy! Finally gave up and called Honda. Within 20 minutes they had a service tech here! It seems like the last three times we have called, we have waited over an hour. I'm dropping AAA effective immediately. It's a complete waste of money!",negative
"Terrible service. Doesn't take responsibility. Technician claimed my batter was not dead. Did NOT replace it and told me to go to my own dealership. So, I did. The dealership said it WAS the battery and now AAA is refusing to reimburse.",negative
"Yesterday I stopped into the office on Glendale Ave to renew my membership. Now I could have done this on line and saved myself a lot of time but you have an associate there named Teresa and she rocks! She is so friendly and outgoing and personable that I actually ENJOY my annual office visits. I'm from Philly and although she's not she's got South Philly all about her, that's a good thing. That being said you really NEED to give her a raise, and don't make me say it again. Remember, I'm from Philly and you know how we are- Mr AAA Bossman doesn't want to wake up with a horse's head in his bed DOES HE?! I'm kidding, horse's heads are so 40 years ago....Keep up the good work Miss T- xoxoxo",positive
"Tonight's heart wrenching news ( July 18,2017) of the 9 family members of the Hector Garnica family who horrifically perished being swept away by flash floods JOLTED me ..... for exactly a year ago the SAME FATE For my eldest daughter was THWARTED THANKS to the OUTSTANDING ADVISE and GUIDANCE from the EMERGENCY ASSISTANCE STAFF AT THIS OFFICE. Thank God we had AAA The many many years of old fashioned advice from my now 97-year-old former biochemist/ mountain climber father rang in my ears as my daughter and her girl friend drove away from San Diego with my dad's old Honda -- a gift. They had NEVER been out West ( born in Connecticut raised in Virginia and now Minneapolis). AND it was boiling hot also last July 2016-- they were driving Nevada Arizona Monument Valley to 4 corners to Denver to minneapolis. I had driven cross country with my family in 1962 and been through all these states. My father's words after years of us living in Salt Lake City "" ALWAYS keep your car tuned up... out there, all it takes is just a LITTLE rain, and you are driving out here and the road dips into a gully... you look up and a HUGE wall of water can be coming crashing towards you... so you hit the gas and GET OUT of that gully ASAP"". So I took a crazy wild chance and called AAA Roadside assistance called AAA Roadside assistance ( Phoenix). A warm gentleman answered and I told him how scared worried I was for my very green inexperienced daughter. I told him she was driving all the way through Monument Valley. Could he please tell me exactly where the gas stations were and other safety advice for these 2 young women. He gave me the locations distance but MOST IMPORTANT... he said, "" tell her if it starts raining she must immediately stop... Monument Valley has terrible flash floods and if she gets caught out there we will not be able to come out and save her.., it is very dangerous."" I found out later long after she drove home that trip, that huge black storm clouds were behind them as they drove last July. THEY LISTENED to the ADVICE AAA GAVE US and drove 90 mph stopping only for essential gas NO SIGHTSEEING until they were out and safe on high ground in Utah across the border. AND thank God I called the Denver AAA office as well? the girls were planning on driving fast and diagonally to Denver through the middle of the state of Colorado . AAA DENVER SAID,"" NO NO NO ???... the roads through that area may turn into dirt roads and our flash floods at this time will COMPLETELY WASH OUT THESE ROADS... she needs to drive straight North in the far western area off the state all the way to the crowded under construction slower interstate to Denver... IT IS SAFER??? I know tonight while she watched the news of the Hector Garnica family MASSIVE tragedy.... my daughter is quietly shaking... and saying ... "" thank God Mom called AAA...."" I only wish I had written this on Yelp earlier....",positive
7 hours later and their now claiming they can't replace their warranted battery.just go buy one. Can't even get a jump until tomorrow,negative
"Dear AAA, Every year since I was 16 years old which is almost 45 years ago, I have had a AAA Premium Card, through my family business which is located in Tucson, Arizona. A decade ago, I moved abroad with my career (Principal at International Schools worldwide) and my father and I along with AAA agreed it was no longer necessary to provide me with an actual AAA card, as I lived/worked abroad. Still, I was privileged to visit AAA and retain the benefits I had always enjoyed. Fair enough. My father spends a great deal of money every year with his business on AAA. Yesterday, June 8. 2017 I visited AAA on 742 E Glendale Ave Phoenix Arizona 85020 where I purchased my International Drivers License which I have done for over 20 years. (my mother lives in Phoenix and this is where I stay when visiting her) Yesterday is the first time I was charged a non-AAA Member price. Although I do appreciate that just the average person shouldn't be permitted to walk in to a AAA and expect benefits without a membership, I feel this is the case with me and my support of AAA for 45 years. Food for thought for you. The customer care at AAA on 742 E Glendale Ave is outstanding. But in the future I shall visit the AAA in East Tucson where I am still a valued AAA Member, without a AAA Card. Thank you AAA. I do appreciate and value your services. Sincerely, Nadine C. Cooper International Educator",negative
"Super Impressed with the service I received today! My teen just bought a car and even though I'm not a member, we decided to skip the DMV and use AAA services for title and registration services. We were promptly greeted and had very little wait before we were called back to Patricia's office. She was very friendly and helpful and guided us through the whole process. I was completely shocked to see her pull out a real license plate from her desk and the tags AND a screwdriver! The whole process took probably less than 20 mins. Well worth the bit extra it costs to use their services. I'm considering getting a membership just because of the great service I received! Thank you!",positive
"I am very disappointed in AAA. I have been a member for over 17 years but that ended today! I believe their auto renewal ""service"" without your permission is at the very least deceptive and most likely fraudulent.",negative
"Amazing service out of the gate from Rose Bergeron. She was quick to understand what I was there for, and was able to very quickly find the solution to the problem and got me in and out of there within a very few minutes. Very impressed with her and her willingness to make sure I was a very pleased customer. Thanks Rose! & Thanks AAA Arizona!",positive
"I was satisfied with the service I got from AAA. I thought I locked my keys in my car and called them right away. They were so fast getting back to me and sending someone to help, but I did eventual find out that I had my keys with me the whole time and when I called them back about that they were not upset and just happy I was able to get into my car safely.",positive
"I love love love AAA. Always good to have in case you need a tow. Went in here the other day to register mine and my husband's cars since we still had CA plates. Oh my gosh, I could not get over how fast, easy, and convenient it was!! Walked in around 4 and waited less than 5 minutes to be seated. I wish I could remember the name of the woman who helped us, she was quick and super kind. In less than 30 minutes we were walking out with our new plates and registration ready to go! So glad we have AAA and decided to let them handle this one for us. Just so so easy. Thanks AAA!",positive
"I terminated my relationship, yet AAA is like a psychotic ex, stalking and harassing. Is it that hard to honor my request to STOP CONTACTING me from over two years ago?",negative
aaa has left me stranded more times then my car im not even sure what im paying for .. i called a to be towed at 4 from las vegas to my house about 90 miles away not only did i sit in sweltering heat from 4pm until almost 9 pm where they informed me they could not find any tow truck drivers .. in las vegas ? there are i hundreds of them i ended up paying top dollar cause it was so LATE AND TO TOP IT OFF I WAS ACTUALLY BROKE DOWN IN THE SAME PARKING LOT AS A AAA OFFICE... AAA ISNT WHAT IT USED TO BE SAD BUT TRUE .. CORPORATE AMERICA,negative
"AAA'S inability to change my tire only compounded the level of frustration I had in my inability to not slice my tire open on a curb. Not only did I not avoid the curb, I also left my jack kit in my travel trailer. So I passed this essential information to the customer service personnel on the phone. So 30 minutes later, upon the arrival of the AAA technician it was soon discovered that they also don't carry jack kits in their *TIRE SERVICE VEHICLES*. I call back. Tech wrote ""customer will change his own tire"". I request a tow truck. AAA offers to tow my F150 to Discount Tire, recommended by AAA. An hour later, I am at discount tire. Discount Tire tells me it will be at least 2 hours. So, all in all I am an idiot for not keeping my jack kit in my truck. I am an idiot for hitting a curb. I am a fool for trusting that AAA could change my freaking tire. I have learned my lesson.",negative
"Been a loyal customer of theirs for over a decade, and never once let us down. I mean yes sometimes the wait is an hour or so - but more often than not its closer to 30 minutes - and having a 12 year old vehicle its nice peace of mind. the guys that come out are always nice and pleasant. Thank you.",positive
"This location showed as an ADOT location to deal with Vehicle license, registration, and such. I was pleasantly surprised that they provided this service as it is only a short distance from my house. They transferred my documents to our new location with ease. I hate going to the normal ADOT offices as it take forever to do anything. I was in and out in 15 minutes for three vehicles! Way to go!",positive
"Very polite and welcoming on the phone when I inquired if they had a notary and could do passport pictures. Receptionist very helpful and friendly. Notary service and photos done quickly and efficiently, by another excellent employee. An A+ experience in terms of courtesy and helpfulness.",positive
"I eventually got the help i was looking for after i had to advocate for it pretty determinedly... Front desk woman gave me limited amount of literature, sold me $50 in books and tried to shoo me out door. I explained i called ahead and expected to be able to discuss my trip with a planner. They acted like that was a very complicated request and told me they don't take appointments which i know to be untrue. I waited for the planner (which they tried to talk me out of). The trip planner told me i needed to tell her step by step which points of interest i wanted to see on my trip while i was there to discuss which route to take and what each route offered. It was incredibly exhausting trying to navigate continuous road blocks to the service you have repeatedly expressed needing. I ultimately got the service i was requesting despite the woman telling me she doesn't ""deal in campgrounds"". Frustrated - i shouldn't have to convince service people to provide their service. Tell me how you CAN help me not how you CAN'T.",negative
"Planning a cruise in the Hawaiian islands, I was overwhelmed with the many decisions to make. A friend asked ""are you a member of AAA?"" (Yes) - she said, call them! I am so glad I did, Gene had all the information needed, and provided in depth reference information regarding the cruise ship, hotels, air, tours, simplifying the entire planning process. Plus, the office was full of extras, maps, guide books, travel accessories - everyone was extremely helpful. It was a great experience.",positive
"Patricia helped me over the phone, my car was towed and I had to get it out of the tow yard, I could not locate my vehicle registration or my AAA card, she emailed a copy of my card and was such a good listener, she helped me through a stressful day. Thanks AAA for having wonderful employees!",positive
"If you're planning a trip anywhere- USA, Europe, Asia.... Make this AAA office your first stop! Make an appt w Gene, and he will help guide you through all the details, and offer great advise, and knowledge of flights, hotels and trains. There are many wonderful travel related items for sale, wallets, socks, wine bags, and Purses just to name a few. Theresa at the front desk helped suggest some necessary travel items. You will be helped by all of their friendly advise, and travel knowledge! So thankful that we have AAA membership.",positive
Car rental ripped me off an additional 200.00 and AAA wouldnt help. the car was rented through there site. Adios AAA lost my renewal!,negative
"I was not happy with their mobile battery service. After getting my car started with a jump-start they then needed to run some ""diagnostic testing"" to determine the quality of my battery. The battery test came out as ""needs to be replaced"". I was told by the service person my car would not start the next day unless I got a new battery. He just happened to have a brand new battery available for purchase right then and there from their service truck. At the time, it appeared the service person was doing me a favor by getting me a new battery to ensure my car would start again. It seems to me as if this service truck comes with the intent of selling a new AAA battery. I am disappointed in this AAA service. This is not what I expect when I buy my yearly membership. It states on their website that AAA is ""Roadside Assistance You Can Trust"". This mobile battery truck is not service I trust. I have heard of other people being told that their battery would not hold a charge and must be replaced, only to find their car starting without a problem after recharging the battery. For instance, one person I know of needed a jump-start from AAA after the interior light was left on over-night. The service person indicated the battery needed to be replaced and offered to get them a brand new AAA battery. They declined, and were told again they really should have the battery replaced. They took the car to their local shop, which did a full recharge of the battery (took 1 hour). That was several weeks ago, and they have had no problems with the battery or starting the car since. Their battery is not brand new, but it is still working well enough to start their car. Be aware of this, and that the service person may try to sell a battery. I would advise taking the car to your regular mechanic shop to have them evaluate it. It may be that you do not need a new battery.",negative
I love triple AAA discount at payless along with a free passport photos yearly! Free travel guides and maps :) ahhh so worth the membership! Best of all road side assistance! Lots of parking at this location! A travelers best friend!,positive
"I am so happy to have AAA. They have been a total life saver on more than one occasion. They will tow your car. Bring you gas, change a flat tire, and jump start your car. Once i even purchased a battery from them and their mobile van service. You can also get trip tiks, discounts on travel and many more items. Certain restaurants will give you a discount with your triple A card.. hard Rock anywhere in the country for one. This is something i think everyone should have. It is a life saver.",positive
"I flew in from Washington, went to my house, and headed to the golf course. Unfortunately my van wouldn't start. How could this be? My son had just purchased a battery for the van from AAA several weeks before, so I called AAA and they had someone out in 10 minutes. He checked the battery, and the charging system, and everything seemed all right. He then checked the battery again, and found that there was a dead cell. He replaced the battery with no questions asked, and apologized for the dead battery. He was very professional throughout, and definitely knew what he was doing. And I did get to the golf course in time. What more could you ask!! Five stars definitely.",positive
"Used on our wedding day to go from Hotel to ceremony, then ceremony to venue. Very reasonably priced, arrived early, clean car, excellent customer service before/after, and friendly driver. Everything you could ask for in a Limo Service.",positive
"WORST EXPERIENCE EVER!!! Initially, I thought I was getting a great deal. Aaron and I agreed to 3 hours at $95 per hour for my son's graduation, and I advised that I would pay in cash if that was okay. He said ""Sure, customers do it all the time. Simply pay the driver. We won't charge your card. We just need it to confirm the reservation."" So it was settled...I thought. The driver, Steven, seemed to be a pleasant gentleman. He arrived earlier than expected and greeted my son very nicely. They went to dinner, but after that it was all downhill. The driver was stuck on a wrong street and the boys had to help him turn around. They almost needed to call a tow truck...luckily they got out and made it home safely. I paid the driver cash and he advised that he'd leave the funds with my invoice on Accounting's desk, so that I would not be double-billed through my card. I said, great! The event was on a Friday...by Monday afternoon, I was charged $380 to my bank account. I WAS LIVID! If they were going to do something other than what we'd agreed upon, I could've simply left the funds in my account. Secondly, the fee was completely over what I'd agreed to. I agreed to 3 hours, but was charged for 4 hours. So I paid $340 and then they stole $380 from my bank account. I thought well it was probably an honest mistake, let me call and get this figured out. I got the run around for 2 days from Miriam (who refused to give me the manager's name) and then Aaron finally stated that I was right and the charge would be reversed. They only reversed $292 and still left me with the remaining $88 that should've been reversed as well. I called again the third day. Guess what? He answered the line, heard my voice and hung up in my face. I called again, another person says...um he's out for the next 30-45 minutes. So...in essence, I had called 11 times over the course of 3 days in an attempt to resolve while my account gets overdraft fees, etc. Still NO RESOLVE to this day! We are currently in dispute unfortunately and I will NEVER deal with this so-called business again! VERY UNPROFESSIONAL! The next transportation company I deal with will need to create a written contract, because some people aren't trustworthy...SMH",negative
"What a wonderful team to work with. Accent/Jet limo took very good care of my VIP guest. We requested the Mercedes sedan and were blown away. We only use them, and don't recommend anyone else. Thanks Billy!",positive
"I really REALLY wanted to like this company. After numerous problems with my normal provider, I was ready for a positive change. Here was my experience with one trip with Accent. When you make an online reservation, you get a bounceback saying it's not confirmed, until an agent reviews and sends another email. Seems senseless. Regardless, a day later, I got a confirmation, and they had the wrong outbound pick-up date. You then have to write them with the mistake, and then wait another day for someone to respond with the correction. On the day of my pick-up, the driver was on time, and the car was super clean. PLUS, she was incredibly professional and personable. I asked her if the charge was different on the outbound or return, as my confirmations showed two different fares, and she said they should be the same, and that she was on her way to the office, and would investigate. Sure enough, about an hour later, she texted me that the office made a mistake (not in my favor, mind you), and would be sending a revised invoice. She was fantastic in follow-up, so, big kudos there. BUT, if I hadn't of pursued this, it would have been something where I sent in an expense report for $$, and then got billed $$$. My return trip...I had booked a sedan for a reason. The driver showed up in a Lincoln Navigator, which, to someone with a back injury, is a horrendous ride. She said it was an ""upgrade"". I see it as ""not what I booked and paid for"". My back was flaming the entire ride home. Not good, not good. She did offer to take me to the office to get a new car, which, was nice, but really? Wish I had an extra 30 minutes to be carted around while they provide what I ordered.. The final straw? Today I get a phone call from a third party - saying they were hired by Accent to evaluate customer experiences. Seriously? So, apparently Accent gives out your personal information to third parties. Awesome. Anyway, the drivers were great - but everything else kinda sucked. Wrong itinerary, wrong receipt, wrong vehicle, big no no giving personal info to third parties. Too much wrong for a first trip, I'm afraid.",negative
